type,maturity,coupon,bid,ask,price,ytm,ttm_years,id
note,2030-06-30,0.0388,97.96875,98.0,98.0,0.0444,3.8412046543463383,N20300630_39
note,2030-07-31,0.0388,97.90625,97.96875,97.96875,0.044500000000000005,3.9260780287474333,N20300731_39
note,2030-07-31,0.04,98.34375,98.40625,98.40625,0.044500000000000005,3.9260780287474333,N20300731_40
note,2030-08-15,0.0063,86.21875,86.25,86.25,0.044500000000000005,3.9671457905544147,N20300815_6
note,2030-08-31,0.0363,96.9375,97.0,97.0,0.044500000000000005,4.010951403148528,N20300831_36
note,2030-08-31,0.041299999999999996,98.75,98.8125,98.8125,0.044500000000000005,4.010951403148528,N20300831_41
note,2030-09-30,0.0363,96.90625,96.9375,96.9375,0.044500000000000005,4.093086926762491,N20300930_36
note,2030-09-30,0.0463,100.59375,100.65625,100.65625,0.044500000000000005,4.093086926762491,N20300930_46
note,2030-10-31,0.0363,96.8125,96.875,96.875,0.044500000000000005,4.177960301163586,N20301031_36
note,2030-10-31,0.048799999999999996,101.53125,101.59375,101.59375,0.044500000000000005,4.177960301163586,N20301031_49
note,2030-11-15,0.0088,86.34375,86.40625,86.40625,0.044500000000000005,4.219028062970568,N20301115_9
note,2030-11-30,0.035,96.25,96.3125,96.3125,0.0446,4.26009582477755,N20301130_35
note,2030-11-30,0.0438,99.625,99.65625,99.65625,0.0446,4.26009582477755,N20301130_44
note,2030-12-31,0.0363,96.6875,96.75,96.75,0.0446,4.344969199178645,N20301231_36
note,2030-12-31,0.0375,97.15625,97.21875,97.21875,0.0446,4.344969199178645,N20301231_38
note,2031-01-31,0.0375,97.125,97.15625,97.15625,0.0446,4.42984257357974,N20310131_38
note,2031-01-31,0.04,98.09375,98.125,98.125,0.0447,4.42984257357974,N20310131_40
note,2031-02-15,0.0113,86.65625,86.71875,86.71875,0.0444,4.470910335386721,N20310215_11
note,2031-02-15,0.0538,103.65625,103.71875,103.71875,0.044500000000000005,4.470910335386721,N20310215_54
note,2031-02-28,0.035,96.09375,96.125,96.125,0.0446,4.506502395619439,N20310228_35
note,2031-02-28,0.0425,99.09375,99.125,99.125,0.0446,4.506502395619439,N20310228_42
note,2031-03-31,0.0388,97.53125,97.5625,97.5625,0.0447,4.591375770020534,N20310331_39
note,2031-03-31,0.041299999999999996,98.53125,98.59375,98.59375,0.0447,4.591375770020534,N20310331_41
note,2031-04-30,0.0388,97.46875,97.53125,97.53125,0.0447,4.673511293634497,N20310430_39
note,2031-04-30,0.0463,100.59375,100.65625,100.65625,0.0447,4.673511293634497,N20310430_46
note,2031-05-15,0.0163,87.96875,88.03125,88.03125,0.0447,4.714579055441479,N20310515_16
note,2031-05-31,0.041299999999999996,98.46875,98.53125,98.53125,0.0447,4.758384668035592,N20310531_41
note,2031-05-31,0.0463,100.5625,100.59375,100.59375,0.044800000000000006,4.758384668035592,N20310531_46
note,2031-06-30,0.041299999999999996,98.4375,98.5,98.5,0.0447,4.8405201916495555,N20310630_41
